player,team,market,line,p_model,p_book,edge,fair,p25,p75,game,verdict,abs_edge
Darnell Mooney,NYG,receptions,1.5,0.6994074074074074,0.4791338422462981,0.22027356516110924,2.3,1.3,3.5,Dal@New,BET OVER,0.22027356516110924
Michael Pittman,PIT,receiving_yards,40.5,0.27274074074074073,0.4928711096627016,-0.22013036892196086,24.4,10.5,42.7,Atl@Pit,BET UNDER,0.22013036892196086
Terry McLaurin,WAS,receiving_yards,52.5,0.28,0.5,-0.21999999999999997,32.2,13.8,56.2,Was@Phi,BET UNDER,0.21999999999999997
Nico Collins,HOU,receiving_yards,69.5,0.28014878621769773,0.5,-0.21985121378230227,47.7,25.9,73.6,Buf@Hou,BET UNDER,0.21985121378230227
Zay Flowers,BAL,receiving_yards,64.5,0.28103703703703703,0.5,-0.21896296296296297,39.5,17.0,69.1,Bal@Ind,BET UNDER,0.21896296296296297
Kenny Gainwell,TB,receptions,3.5,0.6458496476115897,0.4285882744185542,0.2172613731930355,4.4,2.8,6.2,Tam@Cin,BET OVER,0.2172613731930355
DJ Moore,BUF,receptions,3.5,0.32355555555555554,0.5407914020517831,-0.21723584649622757,2.6,1.4,4.0,Buf@Hou,BET UNDER,0.21723584649622757
Ryan Flournoy,DAL,receiving_yards,26.5,0.716718872357087,0.5,0.21671887235708698,43.9,23.9,67.8,Dal@New,BET OVER,0.21671887235708698
Tre Tucker,LV,receiving_yards,47.5,0.2816296296296296,0.49795039967206395,-0.21632077004243433,29.2,12.5,51.0,Mia@Las,BET UNDER,0.21632077004243433
Christian Watson,GB,receptions,4.5,0.21733333333333332,0.43348916277093075,-0.21615582943759742,2.7,1.5,4.2,Gre@Min,BET UNDER,0.21615582943759742
Theo Johnson,NYG,receiving_yards,13.5,0.7173333333333334,0.5020774472328402,0.21525588610049318,27.0,11.6,47.2,Dal@New,BET OVER,0.21525588610049318
Tetairoa McMillan,CAR,receiving_yards,60.5,0.2862222222222222,0.5,-0.2137777777777778,37.4,16.0,65.4,Chi@Car,BET UNDER,0.2137777777777778
Pat Bryant,DEN,receptions,2.5,0.6391111111111111,0.425984607741687,0.21312650336942407,3.3,1.9,5.2,Den@Kan,BET OVER,0.21312650336942407
Zay Flowers,BAL,receiving_yards,63.5,0.2897777777777778,0.5025770643393255,-0.21279928656154767,39.5,17.0,69.1,Bal@Ind,BET UNDER,0.21279928656154767
Tetairoa McMillan,CAR,receptions,4.5,0.28355555555555556,0.49488931328509567,-0.2113337577295401,3.0,1.7,4.7,Chi@Car,BET UNDER,0.2113337577295401
Dontayvion Wicks,PHI,receiving_yards,28.5,0.28970283344851416,0.5,-0.21029716655148584,15.3,4.8,32.3,Was@Phi,BET UNDER,0.21029716655148584
Jahmyr Gibbs,DET,rushing_yards,86.5,0.28329466357308586,0.49231205942186684,-0.20901739584878098,59.7,35.0,90.7,New@Det,BET UNDER,0.20901739584878098
Adam Trautman,DEN,receiving_yards,6.5,0.6981340704906703,0.48987854251012153,0.2082555279805488,14.3,4.5,30.2,Den@Kan,BET OVER,0.2082555279805488
Tre Tucker,LV,receiving_yards,46.5,0.2937777777777778,0.5015428924089693,-0.20776511463119152,29.2,12.5,51.0,Mia@Las,BET UNDER,0.20776511463119152
Alec Pierce,IND,receptions,3.5,0.19407407407407407,0.4007285974499089,-0.20665452337583484,2.0,1.1,3.1,Bal@Ind,BET UNDER,0.20665452337583484
Adam Trautman,DEN,receptions,1.5,0.5434692467173462,0.33864384951427073,0.20482539720307547,1.7,0.9,2.8,Den@Kan,BET OVER,0.20482539720307547
Justin Jefferson,MIN,receptions,5.5,0.3533672670321065,0.5575079453395595,-0.20414067830745297,4.5,2.9,6.4,Gre@Min,BET UNDER,0.20414067830745297
Jahmyr Gibbs,DET,rushing_yards,84.5,0.2965197215777262,0.5,-0.20348027842227379,59.7,35.0,90.7,New@Det,BET UNDER,0.20348027842227379
George Pickens,DAL,receiving_yards,67.5,0.29762962962962963,0.5010179153094463,-0.20338828567981665,42.8,18.4,74.8,Dal@New,BET UNDER,0.20338828567981665
Mark Andrews,BAL,receiving_yards,34.5,0.2890117484450587,0.4917678906606377,-0.20275614221557897,18.5,5.8,39.1,Bal@Ind,BET UNDER,0.20275614221557897
Michael Pittman,PIT,receiving_yards,38.5,0.29733333333333334,0.5,-0.20266666666666666,24.4,10.5,42.7,Atl@Pit,BET UNDER,0.20266666666666666
Marvin Harrison Jr.,ARI,receptions,3.5,0.36133333333333334,0.5637980525693701,-0.20246471923603676,2.8,1.6,4.3,Ari@Los,BET UNDER,0.20246471923603676
Keenan Allen,IND,receiving_yards,26.5,0.7032106499608457,0.5015460431890295,0.2016646067718162,42.4,23.1,65.5,Bal@Ind,BET OVER,0.2016646067718162
Jahmyr Gibbs,DET,rushing_yards,83.5,0.30788863109048725,0.5082145801888893,-0.20032594909840207,59.7,35.0,90.7,New@Det,BET UNDER,0.20032594909840207
Tetairoa McMillan,CAR,receiving_yards,58.5,0.3002962962962963,0.5,-0.19970370370370372,37.4,16.0,65.4,Chi@Car,BET UNDER,0.19970370370370372
DJ Moore,BUF,receiving_yards,47.5,0.3032592592592593,0.5026067805529297,-0.19934752129367045,30.6,13.1,53.5,Buf@Hou,BET UNDER,0.19934752129367045
